criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.9082751744765702,0.8452830188679246,0.8367346938775511
gini,10,0.8983050847457628,0.8075471698113208,0.8027210884353742
gini,12,0.8913260219341974,0.8339622641509434,0.8027210884353742
gini,15,0.8823529411764706,0.8301886792452831,0.8027210884353742
entropy,8,0.9072781655034895,0.8339622641509434,0.8299319727891157
entropy,10,0.9002991026919243,0.8377358490566038,0.8163265306122449
entropy,12,0.8923230309072782,0.8415094339622642,0.7959183673469388
entropy,15,0.8773678963110668,0.8452830188679246,0.8095238095238095
