criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.9217342342342343,0.8188679245283019,0.7551020408163265
gini,10,0.9155405405405406,0.7924528301886793,0.7619047619047619
gini,12,0.901463963963964,0.7924528301886793,0.7687074829931972
gini,15,0.8868243243243243,0.769811320754717,0.7551020408163265
entropy,8,0.9375,0.7924528301886793,0.7551020408163265
entropy,10,0.9279279279279279,0.8415094339622642,0.8027210884353742
entropy,12,0.9037162162162162,0.8075471698113208,0.7619047619047619
entropy,15,0.8918918918918919,0.7962264150943397,0.7551020408163265
