C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.1,linear,auto,4,0.8029411764705883,0.7584905660377359,0.7278911564625851
0.1,poly,scale,2,0.7911764705882353,0.7094339622641509,0.6394557823129252
0.1,poly,scale,3,0.8264705882352941,0.6679245283018868,0.6190476190476191
0.1,poly,scale,4,0.8676470588235294,0.6528301886792452,0.6326530612244898
0.1,poly,auto,2,0.75,0.6490566037735849,0.5782312925170068
0.1,poly,auto,3,0.6911764705882353,0.4226415094339623,0.4557823129251701
0.1,poly,auto,4,0.611764705882353,0.2830188679245283,0.2925170068027211
0.1,rbf,scale,2,0.7735294117647059,0.7811320754716982,0.7619047619047619
0.1,rbf,scale,3,0.7735294117647059,0.7811320754716982,0.7619047619047619
0.1,rbf,scale,4,0.7735294117647059,0.7811320754716982,0.7619047619047619
0.1,rbf,auto,2,0.75,0.7547169811320755,0.7346938775510204
0.1,rbf,auto,3,0.75,0.7547169811320755,0.7346938775510204
0.1,rbf,auto,4,0.75,0.7547169811320755,0.7346938775510204
0.1,sigmoid,scale,2,0.711764705882353,0.8264150943396227,0.8095238095238095
0.1,sigmoid,scale,3,0.711764705882353,0.8264150943396227,0.8095238095238095
0.1,sigmoid,scale,4,0.711764705882353,0.8264150943396227,0.8095238095238095
0.1,sigmoid,auto,2,0.7441176470588236,0.7584905660377359,0.7142857142857143
0.1,sigmoid,auto,3,0.7441176470588236,0.7584905660377359,0.7142857142857143
0.1,sigmoid,auto,4,0.7441176470588236,0.7584905660377359,0.7142857142857143
1.0,linear,scale,2,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,linear,scale,3,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,linear,scale,4,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,linear,auto,2,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,linear,auto,3,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,linear,auto,4,0.8294117647058824,0.7283018867924528,0.6938775510204082
1.0,poly,scale,2,0.8794117647058823,0.7283018867924528,0.7006802721088435
1.0,poly,scale,3,0.9441176470588235,0.6830188679245283,0.6598639455782312
1.0,poly,scale,4,0.9970588235294118,0.6679245283018868,0.6258503401360545
1.0,poly,auto,2,0.75,0.6490566037735849,0.5782312925170068
1.0,poly,auto,3,0.6911764705882353,0.4226415094339623,0.4557823129251701
1.0,poly,auto,4,0.611764705882353,0.2830188679245283,0.2925170068027211
1.0,rbf,scale,2,0.8823529411764706,0.7396226415094339,0.6870748299319728
1.0,rbf,scale,3,0.8823529411764706,0.7396226415094339,0.6870748299319728
1.0,rbf,scale,4,0.8823529411764706,0.7396226415094339,0.6870748299319728
1.0,rbf,auto,2,0.7970588235294118,0.7547169811320755,0.6938775510204082
1.0,rbf,auto,3,0.7970588235294118,0.7547169811320755,0.6938775510204082
1.0,rbf,auto,4,0.7970588235294118,0.7547169811320755,0.6938775510204082
1.0,sigmoid,scale,2,0.7264705882352941,0.7396226415094339,0.7551020408163265
1.0,sigmoid,scale,3,0.7264705882352941,0.7396226415094339,0.7551020408163265
1.0,sigmoid,scale,4,0.7264705882352941,0.7396226415094339,0.7551020408163265
1.0,sigmoid,auto,2,0.7735294117647059,0.7547169811320755,0.7006802721088435
1.0,sigmoid,auto,3,0.7735294117647059,0.7547169811320755,0.7006802721088435
1.0,sigmoid,auto,4,0.7735294117647059,0.7547169811320755,0.7006802721088435
10.0,linear,scale,2,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,linear,scale,3,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,linear,scale,4,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,linear,auto,2,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,linear,auto,3,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,linear,auto,4,0.8294117647058824,0.7433962264150943,0.673469387755102
10.0,poly,scale,2,0.9823529411764705,0.660377358490566,0.6666666666666666
10.0,poly,scale,3,1.0,0.6528301886792452,0.6326530612244898
10.0,poly,scale,4,1.0,0.660377358490566,0.6054421768707483
10.0,poly,auto,2,0.8205882352941176,0.7396226415094339,0.673469387755102
10.0,poly,auto,3,0.7705882352941177,0.5962264150943396,0.5714285714285714
10.0,poly,auto,4,0.611764705882353,0.2830188679245283,0.2925170068027211
10.0,rbf,scale,2,1.0,0.6867924528301886,0.6326530612244898
10.0,rbf,scale,3,1.0,0.6867924528301886,0.6326530612244898
10.0,rbf,scale,4,1.0,0.6867924528301886,0.6326530612244898
10.0,rbf,auto,2,0.8529411764705882,0.720754716981132,0.6802721088435374
10.0,rbf,auto,3,0.8529411764705882,0.720754716981132,0.6802721088435374
10.0,rbf,auto,4,0.8529411764705882,0.720754716981132,0.6802721088435374
10.0,sigmoid,scale,2,0.6147058823529412,0.6490566037735849,0.7142857142857143
10.0,sigmoid,scale,3,0.6147058823529412,0.6490566037735849,0.7142857142857143
10.0,sigmoid,scale,4,0.6147058823529412,0.6490566037735849,0.7142857142857143
10.0,sigmoid,auto,2,0.8088235294117647,0.7660377358490567,0.7210884353741497
10.0,sigmoid,auto,3,0.8088235294117647,0.7660377358490567,0.7210884353741497
10.0,sigmoid,auto,4,0.8088235294117647,0.7660377358490567,0.7210884353741497
100.0,linear,scale,2,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,linear,scale,3,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,linear,scale,4,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,linear,auto,2,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,linear,auto,3,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,linear,auto,4,0.8441176470588235,0.7433962264150943,0.6870748299319728
100.0,poly,scale,2,1.0,0.6377358490566037,0.6258503401360545
100.0,poly,scale,3,1.0,0.6528301886792452,0.6326530612244898
100.0,poly,scale,4,1.0,0.660377358490566,0.6054421768707483
100.0,poly,auto,2,0.9294117647058824,0.7094339622641509,0.673469387755102
100.0,poly,auto,3,0.8852941176470588,0.7358490566037735,0.6666666666666666
100.0,poly,auto,4,0.8205882352941176,0.5811320754716981,0.5578231292517006
100.0,rbf,scale,2,1.0,0.6716981132075471,0.6530612244897959
100.0,rbf,scale,3,1.0,0.6716981132075471,0.6530612244897959
100.0,rbf,scale,4,1.0,0.6716981132075471,0.6530612244897959
100.0,rbf,auto,2,0.9558823529411765,0.7094339622641509,0.673469387755102
100.0,rbf,auto,3,0.9558823529411765,0.7094339622641509,0.673469387755102
100.0,rbf,auto,4,0.9558823529411765,0.7094339622641509,0.673469387755102
100.0,sigmoid,scale,2,0.6088235294117647,0.6264150943396226,0.6802721088435374
100.0,sigmoid,scale,3,0.6088235294117647,0.6264150943396226,0.6802721088435374
100.0,sigmoid,scale,4,0.6088235294117647,0.6264150943396226,0.6802721088435374
100.0,sigmoid,auto,2,0.8205882352941176,0.7622641509433963,0.7074829931972789
100.0,sigmoid,auto,3,0.8205882352941176,0.7622641509433963,0.7074829931972789
100.0,sigmoid,auto,4,0.8205882352941176,0.7622641509433963,0.7074829931972789
