C,kernel,gamma,degree,train_accuracy,validation_accuracy,test_accuracy
0.01,linear,scale,2,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,linear,scale,3,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,linear,scale,4,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,linear,auto,2,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,linear,auto,3,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,linear,auto,4,0.7646396396396397,0.7396226415094339,0.7482993197278912
0.01,poly,scale,2,0.7483108108108109,0.7283018867924528,0.7210884353741497
0.01,poly,scale,3,0.7708333333333334,0.7018867924528301,0.6870748299319728
0.01,poly,scale,4,0.7995495495495496,0.7132075471698113,0.673469387755102
0.01,poly,auto,2,0.7173423423423423,0.6075471698113207,0.6122448979591837
0.01,poly,auto,3,0.6537162162162162,0.4037735849056604,0.42857142857142855
0.01,poly,auto,4,0.5929054054054054,0.30566037735849055,0.3197278911564626
0.01,rbf,scale,2,0.7680180180180181,0.7962264150943397,0.8027210884353742
0.01,rbf,scale,3,0.7680180180180181,0.7962264150943397,0.8027210884353742
0.01,rbf,scale,4,0.7680180180180181,0.7962264150943397,0.8027210884353742
0.01,rbf,auto,2,0.7488738738738738,0.7849056603773585,0.7959183673469388
0.01,rbf,auto,3,0.7488738738738738,0.7849056603773585,0.7959183673469388
0.01,rbf,auto,4,0.7488738738738738,0.7849056603773585,0.7959183673469388
0.01,sigmoid,scale,2,0.714527027027027,0.8075471698113208,0.8231292517006803
0.01,sigmoid,scale,3,0.714527027027027,0.8075471698113208,0.8231292517006803
0.01,sigmoid,scale,4,0.714527027027027,0.8075471698113208,0.8231292517006803
0.01,sigmoid,auto,2,0.7494369369369369,0.7735849056603774,0.8027210884353742
0.01,sigmoid,auto,3,0.7494369369369369,0.7735849056603774,0.8027210884353742
0.01,sigmoid,auto,4,0.7494369369369369,0.7735849056603774,0.8027210884353742
0.1,linear,scale,2,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,linear,scale,3,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,linear,scale,4,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,linear,auto,2,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,linear,auto,3,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,linear,auto,4,0.7871621621621622,0.7811320754716982,0.7619047619047619
0.1,poly,scale,2,0.8074324324324325,0.7849056603773585,0.7755102040816326
0.1,poly,scale,3,0.8879504504504504,0.8037735849056604,0.7482993197278912
0.1,poly,scale,4,0.9448198198198198,0.8150943396226416,0.7619047619047619
0.1,poly,auto,2,0.7173423423423423,0.6075471698113207,0.6122448979591837
0.1,poly,auto,3,0.6537162162162162,0.4037735849056604,0.42857142857142855
0.1,poly,auto,4,0.5929054054054054,0.30566037735849055,0.3197278911564626
0.1,rbf,scale,2,0.7944819819819819,0.7584905660377359,0.7687074829931972
0.1,rbf,scale,3,0.7944819819819819,0.7584905660377359,0.7687074829931972
0.1,rbf,scale,4,0.7944819819819819,0.7584905660377359,0.7687074829931972
0.1,rbf,auto,2,0.7494369369369369,0.7471698113207547,0.7482993197278912
0.1,rbf,auto,3,0.7494369369369369,0.7471698113207547,0.7482993197278912
0.1,rbf,auto,4,0.7494369369369369,0.7471698113207547,0.7482993197278912
0.1,sigmoid,scale,2,0.7347972972972973,0.7509433962264151,0.7142857142857143
0.1,sigmoid,scale,3,0.7347972972972973,0.7509433962264151,0.7142857142857143
0.1,sigmoid,scale,4,0.7347972972972973,0.7509433962264151,0.7142857142857143
0.1,sigmoid,auto,2,0.7606981981981982,0.7773584905660378,0.7687074829931972
0.1,sigmoid,auto,3,0.7606981981981982,0.7773584905660378,0.7687074829931972
0.1,sigmoid,auto,4,0.7606981981981982,0.7773584905660378,0.7687074829931972
1.0,linear,scale,2,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,linear,scale,3,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,linear,scale,4,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,linear,auto,2,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,linear,auto,3,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,linear,auto,4,0.7933558558558559,0.7773584905660378,0.7414965986394558
1.0,poly,scale,2,0.9172297297297297,0.8,0.7687074829931972
1.0,poly,scale,3,0.9746621621621622,0.8150943396226416,0.7959183673469388
1.0,poly,scale,4,0.9938063063063063,0.8188679245283019,0.7959183673469388
1.0,poly,auto,2,0.7663288288288288,0.7320754716981132,0.7074829931972789
1.0,poly,auto,3,0.668918918918919,0.4490566037735849,0.4965986394557823
1.0,poly,auto,4,0.5929054054054054,0.30566037735849055,0.3197278911564626
1.0,rbf,scale,2,0.9515765765765766,0.8415094339622642,0.782312925170068
1.0,rbf,scale,3,0.9515765765765766,0.8415094339622642,0.782312925170068
1.0,rbf,scale,4,0.9515765765765766,0.8415094339622642,0.782312925170068
1.0,rbf,auto,2,0.7871621621621622,0.7849056603773585,0.7755102040816326
1.0,rbf,auto,3,0.7871621621621622,0.7849056603773585,0.7755102040816326
1.0,rbf,auto,4,0.7871621621621622,0.7849056603773585,0.7755102040816326
1.0,sigmoid,scale,2,0.6120495495495496,0.6641509433962264,0.6190476190476191
1.0,sigmoid,scale,3,0.6120495495495496,0.6641509433962264,0.6190476190476191
1.0,sigmoid,scale,4,0.6120495495495496,0.6641509433962264,0.6190476190476191
1.0,sigmoid,auto,2,0.7680180180180181,0.7622641509433963,0.7551020408163265
1.0,sigmoid,auto,3,0.7680180180180181,0.7622641509433963,0.7551020408163265
1.0,sigmoid,auto,4,0.7680180180180181,0.7622641509433963,0.7551020408163265
10.0,linear,scale,2,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,linear,scale,3,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,linear,scale,4,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,linear,auto,2,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,linear,auto,3,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,linear,auto,4,0.7961711711711712,0.7924528301886793,0.6938775510204082
10.0,poly,scale,2,0.9769144144144144,0.8226415094339623,0.7891156462585034
10.0,poly,scale,3,1.0,0.8,0.782312925170068
