criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.8988657844990549,0.8264150943396227,0.7959183673469388
gini,10,0.8913043478260869,0.8377358490566038,0.7891156462585034
gini,12,0.8931947069943289,0.8377358490566038,0.782312925170068
gini,15,0.8780718336483931,0.8188679245283019,0.7959183673469388
entropy,8,0.9045368620037807,0.8188679245283019,0.8163265306122449
entropy,10,0.8950850661625709,0.8339622641509434,0.8299319727891157
entropy,12,0.889413988657845,0.8415094339622642,0.8231292517006803
entropy,15,0.8818525519848771,0.8641509433962264,0.8231292517006803
