criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.9167585446527012,0.8037735849056604,0.7755102040816326
gini,10,0.9068357221609702,0.7924528301886793,0.7687074829931972
gini,12,0.902425578831312,0.7962264150943397,0.7414965986394558
gini,15,0.8891951488423374,0.7584905660377359,0.782312925170068
entropy,8,0.9272326350606395,0.8,0.7619047619047619
entropy,10,0.9206174200661521,0.7849056603773585,0.7755102040816326
entropy,12,0.9101433296582139,0.7735849056603774,0.7482993197278912
entropy,15,0.9013230429988974,0.8113207547169812,0.7959183673469388
