criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.8205882352941176,0.6037735849056604,0.6258503401360545
gini,10,0.8,0.7056603773584905,0.6462585034013606
gini,12,0.8,0.7018867924528301,0.6326530612244898
gini,15,0.7647058823529411,0.7358490566037735,0.7074829931972789
entropy,8,0.8382352941176471,0.7018867924528301,0.6802721088435374
entropy,10,0.8,0.7056603773584905,0.6462585034013606
entropy,12,0.8,0.7018867924528301,0.6326530612244898
entropy,15,0.7647058823529411,0.7358490566037735,0.7074829931972789
