criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.9181715575620768,0.7962264150943397,0.782312925170068
gini,10,0.912528216704289,0.7924528301886793,0.8163265306122449
gini,12,0.8955981941309256,0.7773584905660378,0.7891156462585034
gini,15,0.8927765237020316,0.7811320754716982,0.7959183673469388
entropy,8,0.9283295711060948,0.7886792452830189,0.7619047619047619
entropy,10,0.9181715575620768,0.7886792452830189,0.782312925170068
entropy,12,0.9040632054176072,0.8,0.7619047619047619
entropy,15,0.904627539503386,0.7924528301886793,0.7755102040816326
