criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.8382352941176471,0.5547169811320755,0.5170068027210885
gini,10,0.8058823529411765,0.6641509433962264,0.5918367346938775
gini,12,0.7911764705882353,0.6716981132075471,0.5714285714285714
gini,15,0.7852941176470588,0.660377358490566,0.5714285714285714
entropy,8,0.8529411764705882,0.5283018867924528,0.4897959183673469
entropy,10,0.8264705882352941,0.660377358490566,0.5238095238095238
entropy,12,0.8058823529411765,0.660377358490566,0.5034013605442177
entropy,15,0.7852941176470588,0.660377358490566,0.5714285714285714
