criterion,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
gini,8,0.9262387387387387,0.8,0.8027210884353742
gini,10,0.9149774774774775,0.7811320754716982,0.7959183673469388
gini,12,0.9054054054054054,0.769811320754717,0.8231292517006803
gini,15,0.893581081081081,0.7660377358490567,0.7959183673469388
entropy,8,0.9313063063063063,0.8264150943396227,0.782312925170068
entropy,10,0.9172297297297297,0.7886792452830189,0.7755102040816326
entropy,12,0.9093468468468469,0.8,0.7755102040816326
entropy,15,0.9042792792792793,0.8075471698113208,0.782312925170068
